rev,mou,totmrc,ovrmou,ovrrev,vceovr,roam,change_mou,change_rev,drop_vce,blck_vce,blck_dat,unan_vce,plcd_vce,recv_vce,comp_vce,comp_dat,custcare,ccrndmou,cc_mou,inonemin,threeway,mou_cvce,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,peak_vce,peak_dat,mou_peav,opk_vce,opk_dat,mou_opkv,mou_opkd,drop_blk,attempt,complete,callwait,months,uniqsubs,actvsubs,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,marital,infobase,income,numbcars,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
31.4475,56.0,30.0,8.75,1.4475,1.4475,0.0,-34.0,-1.4475,1.0,0.0,0.0,2.0,14.33333333,12.0,11.66666667,0.0,0.0,0.0,0.0,6.333333333,0.0,5.373333333,12.7,0.0,0.0,1.0,1.32,2.333333333,0.0,1.406666667,21.0,0.0,16.66666667,0.0,1.0,14.33333333,11.66666667,0.0,55,1,1,A,N,5052,7942.0,2399.93,2352.93,7914.0,5027,44.39,149.32,94.85,67,57,32,61.0,49.0,31.0,S,MIDWEST AREA,N,N,29.98999023,1.0,1.0,,0.0,0.0,O,10.0,M,M,7.0,3.0,0.0,G,U,U,U,Y,Y,Y,1646.0,1000055
76.7375,1007.75,59.99,65.25,19.575,19.575,6.6775,-51.75,5.3625,2.0,8.666666667,0.0,82.0,392.6666667,122.3333333,300.0,0.0,0.0,0.0,0.0,58.0,0.0,390.7066667,244.05,105.0,54.66,41.0,74.64,225.3333333,0.0,321.33,197.0,0.0,313.4266667,0.0,10.66666667,392.6666667,300.0,8.666666667,52,3,3,A,N,12566,23282.0,2805.23,2749.73,23077.0,12472,53.92,452.49,244.55,1025,453,75,980.0,462.0,69.0,S,MIDWEST AREA,Y,R,29.98999023,7.0,5.0,WCMB,1.0,1.0,O,6.0,M,M,7.0,,0.0,D,U,U,U,U,U,Y,163.0,1000081
159.04,2542.5,75.0,458.25,45.825,45.825,9.56,-225.5,-19.36,34.33333333,3.0,0.0,178.0,926.6666667,514.3333333,725.6666667,0.0,0.333333333,3.0,2.773333333,257.6666667,0.0,920.44,765.2966667,285.3333333,385.75,129.6666667,257.12,1022.666667,0.0,1476.833333,159.3333333,0.0,208.9133333,0.0,37.33333333,926.6666667,725.6666667,50.0,48,5,4,A,N,54269,92628.16667,5166.97,5076.97,92489.17,54179,108.02,1967.85,1152.74,2618,1508,166,2656.0,1527.0,166.0,U,SOUTHWEST AREA,Y,N,29.98999023,8.0,6.0,WC,1.0,0.0,O,11.0,M,M,4.0,2.0,0.0,N,U,U,U,U,Y,Y,263.0,1000301
67.275,602.5,50.0,73.25,7.325,7.325,4.8,-155.5,-12.825,21.66666667,0.666666667,0.0,36.66666667,222.6666667,155.6666667,169.0,0.0,0.0,0.0,0.0,106.0,0.0,234.7033333,190.4066667,44.0,48.01,5.0,19.30666667,262.6666667,0.0,378.9466667,34.33333333,0.0,46.16333333,0.0,22.33333333,222.6666667,169.0,1.0,50,1,1,A,N,23357,47230.0,4478.24,4386.3,46840.0,23149,91.38,975.83,482.27,654,317,71,1077.0,519.0,103.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,R,99.98999023,9.0,4.0,WCMB,0.0,0.0,O,10.0,S,M,2.0,1.0,0.0,N,U,U,U,U,U,Y,204.0,1000444
80.2825,1245.25,68.295,73.0,18.25,18.25,0.0,-160.25,-62.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2,1,B,N,66754,122300.5,6847.28,6748.76,121786.5,66511,140.6,2537.22,1385.65,1299,646,101,1423.0,682.0,99.0,U,SOUTH FLORIDA AREA,N,N,29.98999023,8.0,4.0,WC,0.0,0.0,O,1.0,A,M,6.0,2.0,0.0,S,U,U,U,U,U,Y,285.0,1000449
142.77,1127.75,59.99,250.25,75.075,75.075,17.705,-4.75,15.32,28.66666667,1.0,0.0,53.33333333,298.0,78.33333333,218.0,0.0,0.0,0.0,0.0,36.66666667,4.666666667,614.95,234.5566667,15.33333333,13.14333333,0.0,0.0,193.6666667,0.0,586.9266667,83.33333333,0.0,262.58,0.0,29.66666667,298.0,218.0,0.0,53,1,1,A,N,9249,27541.0,2719.53,2694.52,26956.0,8992,65.72,657.46,219.32,1129,281,138,932.0,257.0,100.0,U,NEW YORK CITY AREA,Y,N,199.9899902,5.0,4.0,WCMB,1.0,0.0,O,7.0,S,M,6.0,1.0,0.0,D,U,U,Y,U,U,Y,66.0,1000535
78.2225,1273.25,75.0,0.0,0.0,0.0,0.0,40.75,-1.2725,6.666666667,5.666666667,0.0,47.33333333,439.3333333,187.3333333,382.0,0.0,1.0,2.0,1.31,77.66666667,0.0,443.52,442.6066667,133.6666667,126.32,22.66666667,43.32,419.3333333,0.0,664.6133333,147.6666667,0.0,221.51,0.0,12.33333333,439.3333333,382.0,7.666666667,49,2,2,B,N,38593,84072.0,4667.09,4546.12,83539.0,38359,101.02,1856.42,852.42,1260,673,78,1228.0,643.0,78.0,R,MIDWEST AREA,N,N,29.98999023,8.0,3.0,,0.0,0.0,O,3.0,M,M,6.0,2.0,0.0,S,U,Y,U,U,U,Y,647.0,1000543
139.91,932.0,132.625,0.5,0.195,0.0,0.0,-112.0,-60.66,18.33333333,15.0,0.0,73.33333333,391.0,203.3333333,290.0,0.333333333,4.333333333,11.66666667,9.186666667,138.6666667,1.333333333,251.9533333,222.52,119.0,54.22,22.66666667,24.82333333,368.3333333,0.0,333.2833333,119.3333333,0.333333333,141.1866667,0.333333333,33.33333333,391.3333333,290.3333333,10.0,50,4,4,A,N,39251,68466.13667,6860.94,6782.19,68295.14,39150,141.3,1422.82,815.63,969,561,160,1445.0,797.0,198.0,S,SOUTH FLORIDA AREA,Y,N,199.9899902,10.0,6.0,WCMB,0.0,0.0,O,2.0,U,M,9.0,1.0,0.0,N,Y,U,U,U,Y,Y,296.0,1000824
45.85,400.5,17.5825,67.5,21.525,21.525,0.0,15.5,9.4,2.666666667,6.333333333,0.0,26.0,114.6666667,45.33333333,81.33333333,0.0,0.0,0.0,0.0,12.33333333,0.0,158.1433333,128.8566667,24.66666667,29.36333333,15.66666667,44.4,95.33333333,0.0,217.1566667,29.66666667,0.0,69.84333333,0.0,9.0,114.6666667,81.33333333,0.333333333,45,2,2,A,N,3745,8846.173333,2400.0,2334.69,8769.17,3708,53.06,199.3,84.27,395,165,43,302.0,122.0,59.0,T,MIDWEST AREA,N,N,129.9899902,2.0,2.0,WCMB,0.0,0.0,O,1.0,M,M,7.0,,0.0,H,Y,U,Y,U,U,Y,158.0,1000868
46.75,167.0,45.0,0.0,0.0,0.0,0.0,146.0,3.5,0.333333333,1.0,0.0,2.0,34.33333333,5.333333333,31.0,0.0,1.0,1.0,0.083333333,1.666666667,0.0,62.43333333,65.84333333,13.33333333,9.346666667,0.0,0.0,29.66666667,0.0,76.77666667,6.666666667,0.0,51.5,0.0,1.333333333,34.33333333,31.0,0.0,47,1,1,C,N,3241,17137.02,3101.71,3007.8,16803.02,3176,68.36,381.89,72.18,118,34,46,149.0,46.0,46.0,C,MIDWEST AREA,Y,N,149.9899902,2.0,2.0,WCMB,0.0,0.0,O,,U,M,7.0,2.0,0.0,N,U,U,U,U,U,Y,401.0,1000941
